,DEMO_DATASET_C2_S0,DEMO_DATASET_C2_S1,DEMO_DATASET_C2_S2,DEMO_DATASET_C2_S3,DEMO_DATASET_C2_S4,DEMO_DATASET_C2_S5,DEMO_DATASET_C2_S6,DEMO_DATASET_C2_S7,DEMO_DATASET_C2_S8
GENE_0,1.3931780247988659,1.5238530743712957,1.3432775653477378,1.277618356839231,1.5879558793731605,1.820718556388642,1.217657073720659,1.6008770378659902,1.4375109512996762
GENE_1,1.3557136407163277,1.8133594131786548,1.4704575777273337,1.9745754207662198,1.4050401589634018,1.6966254984064582,1.5431792483606992,1.4114945477184093,1.7469187606444383
GENE_2,1.5612543567312982,1.7508026451784118,1.588177123195751,1.3285459361746406,1.5744826892027735,1.6129887923790351,1.8396157384702994,1.3734327481662054,1.5901675366831738
GENE_3,1.1695303174424905,1.762873265085829,1.3296292563398386,1.1484101197290988,1.5851957914313157,1.8764212396657116,1.2188882629470312,1.3279911036528933,1.4141812772366797
GENE_4,1.3176258384144992,1.6948569720836462,1.3981581387388786,1.4196213158849496,1.745826349670578,1.411121342257829,1.7081950244451807,1.3571537070294892,1.2969653714461777
GENE_5,1.1411376777022695,2.0653006967279324,1.519935241967251,1.6609833419871074,1.5922376227548003,1.6399904392518159,1.6124216198435932,2.0770542598006747,1.3402683522607133
GENE_6,1.210634473475456,1.3470100828789113,1.2663227475603636,1.7867405131204857,1.8050945523844393,1.3596711137124184,1.2523910558842521,1.5113008367147265,1.9477809694690984
GENE_7,0.8951076455504211,1.7316566922539687,1.3310611931378538,1.8600917866353186,1.3305190147808121,1.52864604319604,1.2234302248401092,1.3556855373754757,1.9464597907615295
GENE_8,1.8051446714725148,1.499582961962331,1.3824569074489361,1.1265482158720466,1.501585822024754,1.5922741868534256,1.5789864105413791,1.5765520180059576,1.3195475931932685
GENE_9,1.5834315286585956,1.5903316551162237,1.9226405094507943,2.0666833635880906,1.5657527432705522,1.4084235122060285,1.5837544675595092,1.4480946811863908,1.4143915460634378
GENE_10,1.5853374620194645,1.3391738922119214,1.7515266877887545,1.5740211127039807,1.6625020767149883,1.5542649910073323,1.418186388186897,1.3630101100627872,1.5406809989188648
GENE_11,1.4628099156430472,1.658475333302394,1.5988920742005903,1.2594233130193178,1.616780324857088,1.2642848957148107,1.44588059362018,1.5264115976955381,1.0811816805221723
